"Mesorregiao","Casos","Incidencia_100mil","Notificados","Incidencia_notif_100mil","Kendall_semanal","Kendall_4SE"
"Sul/Sudoeste de Minas",557,21.6,1691,65.5,"0.22***","0.32***"
"Zona da Mata",426,18.8,1730,76.1,"0.20***","0.30***"
"Oeste de Minas",121,11.7,488,47.2,"0.06*","0.09***"
"Central Mineira",48,11,278,63.9,"0.02ns","0.01ns"
"Vale do Mucuri",40,10.3,167,42.9,"0.07*","0.07*"
"Vale do Rio Doce",169,10,957,56.8,"0.11***","0.21***"
"Metropolitana de Belo Horizonte",655,9.9,4487,67.6,"0.24***","0.39***"
"Triângulo Mineiro/Alto Paranaíba",198,8.5,1071,45.8,"0.13***","0.18***"
"Noroeste de Minas",21,5.4,132,33.9,"-0.02ns","-0.00ns"
"Campo das Vertentes",31,5.3,137,23.5,"0.08**","0.14***"
"Jequitinhonha",26,3.7,169,23.8,"0.04ns","0.08**"
"Norte de Minas",22,1.3,235,13.9,"0.05ns","0.09**"
