"Variavel","IRR_confirmados","IRR_notificados","Moran_confirmados","Moran_notificados"
"Precipitação","1.36 (1.31-1.41)***","1.18 (1.16-1.21)***","0.24**","0.27**"
"Temperatura","1.25 (1.18-1.33)***","1.18 (1.15-1.22)***","-0.28**","-0.24**"
"Umidade relativa",NA,NA,"0.28**","0.28**"
"Radiação solar",NA,NA,"-0.24**","-0.27**"
"Velocidade do vento",NA,NA,"-0.17**","-0.16**"
"Evapotranspiração",NA,NA,"-0.31**","-0.30**"
"Densidade demográfica (log)",NA,NA,"0.14**","0.19**"
"IVS",NA,NA,"-0.20**","-0.25**"
"Esgoto",NA,NA,"0.09**","0.13**"
"Água",NA,NA,"-0.01ns","0.01ns"
"Lixo",NA,NA,"0.17**","0.21**"
